#File format: word,sPoint,nPoint,yPoint

#Sayori's winning words
щастя,0,0,0
печаль,5,2,1
смерть,5,1,2
трагедія,5,1,2
самотній,5,1,2
кохання,5,2,1
пригода,0,2,1
солодкий,0,2,1
ажіотаж,0,2,1
феєрверк,0,2,1
романтика,5,2,1
сльози,5,1,2
депресія,5,1,2
серце,5,2,1
весілля,0,2,1
пристрасть,5,2,1
дитинство,0,2,1
радість,0,2,1
колір,0,2,1
надія,0,1,2
друзі,0,2,1
сім'я,5,2,1
вечірка,0,2,1
канікули,0,2,1
лінь,0,2,1
мріњ,0,1,2
біль,5,1,2
свято,0,2,1
ліжко,0,2,1
перо,0,2,1
сором,5,1,2
страх,5,1,2
теплота,0,2,1
квітка,0,2,1
затишок,0,2,1
танець,0,2,1
спів,0,2,1
плач,5,1,2
сміх,0,2,1
похмурий,5,1,2
сонячний,0,2,1
хмара,5,2,1
спокій,0,1,2
дурний,0,2,1
літаючий,0,2,1
чудовий,0,2,1
нерозділений,0,1,2
троянда,0,1,2
разом,5,2,1
обіцянка,0,2,1
обійми,0,2,1
краса,0,2,1
веселощі,0,2,1
посмішка,0,2,1
зламаний,5,1,2
дорогоцінний,5,2,1
благання,5,1,2
незграбний,0,2,1
прощення,5,1,2
природа,0,2,1
океан,0,2,1
блиск,0,2,1
особливий,5,2,1
музика,5,2,1
щасливий,0,2,1
неудача,5,1,2
гучний,0,2,1
мирний,0,1,2
захоплення,0,1,2
захід сонця,0,2,1
світлячки,0,2,1
райдуга,0,2,1
образа,5,1,2
іскритися,0,2,1
шрами,5,1,2
пустий,5,1,2
дивовижний,0,2,1
горе,0,1,2
обійми,0,1,2
надзвичайний,3,2,1
приголомшливий,0,2,1
поразка,5,1,2
безнадійний,5,1,2
страждання,5,1,2
скарб,0,2,1
блаженство,0,2,1
спогади,3,2,1

#Natsuki's words
милий,2,5,1
пухнастий,2,5,1
чистий,1,5,2
цукерка,2,5,1
покупки,2,5,1
цуцення,2,5,1
кошення,2,5,1
хмари,2,5,1
помада,1,5,2
парфе,2,5,1
полуниця,2,5,1
розовий,2,5,1
шоколад,2,5,1
мить,3,5,2
поцілунок,1,5,2
мелодія,3,5,1
білий бант,3,5,1
жвавий,2,5,1
докі-докі,5,5,1
кавайний,2,5,1
спідниця,2,5,1
щоки,2,5,1
е-мейл,2,5,1
липкий,2,5,1
енергічний,2,5,1
блискучий,2,5,1
гризти,2,5,1
фантазія,1,5,2
цукор,2,5,1
хіхікати,3,5,1
зефір,2,5,1
скакати,2,5,1
класики,3,5,1
тиша,2,5,1
обертання,2,5,1
крутити,2,5,1
льодяник,2,5,1
пуф,2,5,1
бульбашки,2,5,1
шепіт,2,5,1
літо,2,5,1
водоспад,1,5,2
купальник,2,5,1
ваніль,2,5,1
наушники,3,5,1
ігри,5,5,1
шкарпетки,2,5,1
волосся,2,5,1
пісочниця,2,5,1
піжама,1,5,2
ковдра,1,5,2
молоко,2,5,1
губки,2,5,1
злість,5,5,1
тато,2,5,1
валентинка,2,5,1
миша,1,5,2
свист,2,5,1
жмяк,2,5,1
кролик,2,5,1
аніме,2,5,1
стрибати,2,5,1

#Yuri's words
рішучість,5,1,5
суіцид,5,1,5
уява,2,1,5
потайний,2,1,5
життєвість,1,1,5
існування,5,1,5
блискучий,1,1,5
багровий,1,1,5
вихор,1,1,5
післяобраз,0,1,5
запаморочення,1,1,5
дезорієнтація,5,1,5
сутність,2,1,5
обтічний,2,1,5
хмарочос,2,1,5
сум'яття,1,1,5
забруднення,1,1,5
інтелектуальний,1,1,5
аналіз,1,1,5
ентропія,1,1,5
жвавий,1,1,5
нез'ясовний,2,1,5
несумісний,1,1,5
гнів,2,1,5
посланий,2,1,5
бійня,2,1,5
філософія,3,1,5
непостійний,1,1,5
наполегливий,1,1,5
аура,2,1,5
нестійкий,1,1,5
інферно,2,1,5
нездатний,5,1,5
доля,5,1,5
непогрішний,1,1,5
болісний,2,1,5
розбіжність,5,1,5
неконтрольований,5,1,5
екстремальний,2,1,5
тікати,5,1,5
мрія,2,2,5
катастрофа,5,1,5
мальовничий,2,1,5
пишучий,1,2,5
питання,0,2,5
нарив,2,1,5
застереження,2,1,5
клітина,5,2,5
вибухати,1,2,5
насолода,0,2,5
хіть,1,2,5
відчуття,1,2,5
кульмінація,1,2,5
електрика,1,2,5
зрікатися,1,1,5
зневажати,5,1,5
нескінченний,5,1,5
вічність,5,1,5
час,2,1,5
всесвіт,3,1,5
нескінченний,2,1,5
краплі,0,1,5
жадати,1,1,5
нестримний,1,1,5
пейзаж,2,1,5
портрет,2,1,5
подорож,2,1,5
убогий,1,1,5
занепокоєння,5,1,5
лякаючий,5,1,5
жах,0,1,5
меланхолія,5,1,5
проникливість,2,1,5
викуплення,2,1,5
дихати,1,2,5
бранець,2,1,5
бажання,5,2,5
цвинтар,0,1,5

#Monika words!
допомога,5,1,1
реальність,5,1,1
помилка,5,1,1
жаль,5,1,1
файли,5,1,1
код,5,1,1
стіна,5,1,1
застряглий,5,1,1
смарагдовий,5,1,1
вибач,5,1,1
втрачений,5,1,1
безмежний,5,1,1
нестача,5,1,1
